SMILE	label	Influence
C=C(C)CCc1noc([C@@H]2CCCN(C(=O)c3ccncc3)C2)n1	1.964	48769.970849412464
CC[C@H]1CCCN(CCCn2c3ccccc3[nH]c2=O)C1	2.528	-82961.67009891037
Cc1[nH]nc(C(=O)N2CC3(C2)CCN(Cc2ccccc2)CC3)c1C	0.83	8142.058843303301
N#Cc1cc(S(=O)(=O)NCC2(c3ccccc3)COC2)ccc1F	2.896	91941.8863112235
N#Cc1ccc(NC(=O)N2CCN(C[C@@H]3CCCO3)CC2)cc1	2.342	47891.28720090153
COc1cccc(NC(=O)CCN2CCC(C(N)=O)CC2)c1	1.254	6435.3191676253045
O=C(N[C@H]1CCN(Cc2ccccc2)C1)[C@@H]1CCN1C1CCCC1	1.626	21592.224213743735
CN(C(=O)Cc1ccccc1)[C@H]1CCN(Cc2cn(C)nn2)C1	3.36	19563.000959228368
C[C@@H](C(=O)N[C@H]1CCN(C(=O)c2ccccc2F)C1)C1CCCC1	0.944	-23695.865563659183
Cc1cc(C#N)cc(C)c1C(=O)N[C@@H](Cc1ccccc1)C(=O)O	-0.072	11471.239057848874
Cc1nnc(CN2CCC[C@H](N(C)C(=O)c3ccncc3)CC2)o1	1.712	36841.600924404425
O=C(N[C@H]1CCCN(Cc2ccccc2)C1)C1CCNCC1	2.084	4287.661601911343
C[C@@H](CC(=O)NC[C@H]1C[C@@H](Nc2cccc(F)n2)C1)[C@@H]1CCCO1	1.906	29040.118905513627
CC(F)(F)CCS(=O)(=O)N[C@H]1CCN(Cc2ccccc2)C1	2.326	-15184.15073024046
CO[C@H](C)CN[C@H]1CCCN(C(=O)c2ccccc2)C1	1.546	41520.09124193303
Cc1ccnc(CN2CCC[C@@H](N(C)C(=O)c3ccncc3)CC2)n1	1.824	52560.53320019477
CC(=O)NC[C@H]1CC[C@H](NC(=O)c2ccc(-c3cnc[nH]3)cc2)CC1	1.468	9710.66392850483
COc1ccc(COC[C@H](O)CN2CCC[C@@H](CO)CC2)cc1	1.008	7908.259200624066
CCOC(=O)c1nn(-c2ccc(C)cc2)c(=O)c2c(N)scc21	1.718	26614.231593418037
C/C=C/C=C/C(=O)N[C@@H]1CCCN(C(=O)c2ccccc2)C1	2.242	3469.142659517758
C[C@@H](N[C@@H]1CN(C(=O)c2ccccc2)C[C@H]1C)C(=O)NC1CCCC1	1.426	12872.188756487601
C[C@@H](C(=O)N[C@H]1CCN(C(=O)c2ccnnc2)C1)C1CCCC1	1.014	14630.447356934048
COC(=O)[C@@H]1C[C@@H]1C(=O)N[C@H]1CCCN(C(=O)c2ccccc2)C1	1.522	13629.393733386267
C#C[C@H](CC)NC(=O)NC[C@H](c1ccc(OC)cc1)N1CCCCC1	1.564	24197.754719816534
O=C(NCC1CC(NCc2ncccn2)C1)c1cccc2ccccc21	3.004	4022.7147985771153
CN(C(=O)c1ccncc1)[C@H]1CCN(Cc2nnc(C3CC3)s2)C1	1.64	56658.07806891235
C[C@@H](C(=O)N[C@@H]1CCCN(C(=O)c2cncnc2)C1)C1CCCC1	0.592	14032.405418965023
CC(C)Oc1cccc([C@@H](C)NC(=O)/C=C\CN2CCOCC2)c1	1.4	89286.46565603936
CN(C(=O)Cc1ccc(Cl)cc1)C1CN(CC[C@@H]2CCOC2)C1	2.9	39305.80528662325
CN1CC[C@@H]2CN(CCc3ccc4c(c3)CCO4)C[C@@H]2C1	3.116	-39751.438223430465
CCN(CCNC(=O)c1cc(F)ccc1OC)Cc1nccs1	0.058	10858.0044216219
C=CCOC(=O)N1CCN(Cc2ccc(OC)c(Cl)c2)CC1	2.59	15137.825884600017
COc1ccc(NC(=O)c2cnn(-c3ccccc3F)c2)cn1	3.076	54493.62458425821
c1cncc(-c2ccnc(NCc3ccc4nonc4c3)n2)c1	1.722	29575.08087232089
C=C(CC)CNC(=O)NC[C@@H](c1ccc(OC)cc1)N1CCOCC1	1.922	62714.65690863194
CC(=O)Nc1ccc(CC(=O)N(C)C2CC(NC/C=C\Cl)C2)cc1	1.96	13943.29934473427
Cc1ccc(C(=O)N[C@H]2CC[C@H](CO)CC2)cc1-c1nn[nH]n1	2.024	22393.288299432843
O=C(Nc1ccc(-n2cccn2)c(F)c1)c1ccc(-n2ccnc2)nc1	2.69	4466.092628377155
CO[C@@H](C)CN[C@H]1CCCN(C(=O)c2ccccc2)C1	1.546	-16164.620409560048
COC(=O)C[C@H]1CCN(C(=O)Nc2cccc(Cl)c2)C1	2.196	-66487.36590607998
CN(C(=O)Cc1ccccc1)[C@@H]1CCN(CCc2ccnn2C)C1	3.14	66773.96138091048
O=C(COCc1ccncc1)N1CC[C@@H]2[C@H](CCN2C/C=C/Cl)C1	2.896	69298.78566740378
CSc1ccc(NC(=O)c2ccc(N3CCOCC3)nc2)cn1	3.004	60776.88233413799
CCc1ccc(CCN2CCC[C@@H](NC(=O)CN3CCCC3)C2)cc1	2.25	20415.368105735688
N#Cc1ccc(NCc2nc(-c3ccc(-n4ccnc4)nc3)no2)cc1	2.06	33519.127822097624
O=C(N[C@@H]1CCCNC1)c1ccc(F)cc1OC(F)F	1.462	5865.528198486674
Cc1nc(C(=O)N2CCC3(CN(C(=O)[C@H]4CC4(F)F)C3)C2)cs1	1.756	432.9207488821248
COc1cccc(OC[C@H](O)CN2CC[C@H](C)[C@@H](CN)CC2)c1	0.42	-10117.85476474703
COc1cccc(C(=O)NCCCNc2cc(C)ncn2)c1	3.33	18017.202248417125
C[C@@H](CC(=O)NCC1(NC(=O)c2ccnn2C)CCC1)[C@H]1CCCO1	1.15	36012.747076075146
COC(=O)c1ccc(NC(=O)c2cc(OC)c(O)c(OC)c2)cc1	2.25	548.803938785597
CC(=O)Nc1sc(-c2ccccc2)cc1C(N)=O	2.614	-24554.471478378495
CCCN(CCC#N)S(=O)(=O)c1ccc(C(=O)O)cc1	1.322	16023.918581546503
O=C(OCCN1CCOCC1)c1c[nH]c2ccccc21	-0.034	4253.258295002277
C[C@H](C[C@H](C)O)NC[C@@H](O)COc1cccc2[nH]ccc21	0.638	28223.84078675037
COC[C@H](C)NC[C@@H](O)COc1cccc2[nH]ccc21	0.488	17770.94531625491
Cc1ccc(-c2csc(NC(=O)CSCC(=O)O)n2)cc1	2.48	53079.84294696366
CC(=O)[C@@H]1[C@H]2CC[C@H](C[C@H]1OC(=O)c1ccccc1)N2C	0.102	569.7769421671001
O=C(CN1CCC(C2CC2)CC1)Nc1ccc2c(c1)OCO2	1.27	13285.582327931304
COc1ccc(S(=O)(=O)Nc2cc(OC)nc(OC)n2)cc1	-0.03	1068.8786184015462
COc1ccc(S(=O)(=O)Nc2ncnc(OC)c2OC)cc1	-0.11	242.68692677881734
COC(=O)[C@H]1[C@H]2CC[C@H](C[C@H]1OC(=O)c1cccc(O)c1)N2C	0.102	1158.2051471324658
COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@H]1OC(=O)c1cccc(O)c1)N2C	0.102	-1961.9635673418961
CN1CCOc2cc(COCc3ccccc3)cnc21	3.06	30398.75968614531
CCC(CC)NC[C@@H](O)COc1cccc2[nH]ccc21	0.488	11347.87271325467
COc1ccc([C@H]2N[C@@H](C(=O)O)Cc3c4ccccc4[nH]c32)cc1	1.522	25358.904495980234
CN(C)c1ccc([C@@H]2N[C@H](C(=O)O)Cc3c4ccccc4[nH]c32)cc1	1.224	25358.458036540564
O=C(O)[C@H]1Cc2c3ccccc3[nH]c2[C@@H](c2cccnc2)N1	1.124	39723.72169483892
C=CCc1ccccc1OC[C@@H](O)CN[C@H](C)COC	0.71	1447.2386305601503
CN(C)c1ccc([C@@H]2N[C@@H](C(=O)O)Cc3c4ccccc4[nH]c32)cc1	1.224	15937.375062149607
O=C(O)[C@@H]1Cc2c3ccccc3[nH]c2[C@@H](c2cccnc2)N1	1.124	34439.342924477314
CC(C)[C@H](NC(=O)CCc1ccc(F)cc1)C(=O)N1CCCC1	2.198	-8568.48865347753
CCCOCCOCc1ccc(OC[C@@H](O)CNC(C)C)cc1	0.376	16960.506068681796
Cc1ccc(C(=O)CN2c3ccccc3N3CCN=C23)cc1	2.41	-37787.78708046073
O=C(COc1ccccc1O)NC1CCOCC1	1.216	9720.934781562373
O=C(COc1ccccc1O)NC1CCSCC1	1.566	-301.19123005674373
CN1CCCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1	3.132	9464.634917209129
NCCO/N=C(\CCCCO)c1ccc(C(F)(F)F)cc1	1.572	-11464.231685201012
Cc1c(N)cccc1NC(=O)c1ccc(N2CCOCC2)cc1	1.368	14345.238858608878
O=C(N[C@H]1C[C@H](C(=O)O)C1)c1cc(-c2cccs2)on1	2.92	-22098.720477609248
COC(=O)COc1ccc(C)cc1-n1nc2ccccc2n1	1.126	24613.352808168464
O=C(Oc1ccc(C(=O)c2ccccc2)cc1)N1CCOCC1	1.842	-50529.880957661
NC(=O)c1ccc(C(=O)NCCCCCc2ccccc2)cc1	1.828	35211.48745451149
O=C(N[C@H]1CC[C@H](CNCCO)CC1)c1cc(-c2cccs2)on1	2.168	83330.77455386423
CCN1CCC2(CN(C(=O)c3cc4cc(F)ccc4[nH]3)C2)CC1	2.312	26993.383561090923
O=C(O)CSCC(=O)Nc1nc(-c2ccc(F)c(F)c2)cs1	2.464	35970.01227558703
C#CCN[C@H]1CC[C@H](NC(=O)c2cc(-c3cccs3)on2)CC1	1.956	-14838.821215748932
COc1cc(/C=C2\SC(=O)NC2=O)ccc1F	1.902	4698.639836663948
CC(C)(C)OC(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)O	0.068	-4495.894701982588
COc1ccc(/C=C2\SC(=O)NC2=O)cc1Cl	1.902	24026.566218672422
N[C@H]1CC[C@@H](C(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)C1	3.266	65430.53343718017
N[C@@H]1CC[C@@H](C(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)C1	3.266	23003.25210718828
O=C(NCCN1CCC1)C(c1ccccc1)c1ccccc1	2.318	38676.015107598665
NC(=O)[C@@H](Nc1ccc2c(c1)CCC2)c1ccccc1	2.346	2236.5925622399845
CCC[C@H](C)NC[C@@H](O)COc1cccc2[nH]ccc21	0.638	-1252.450797875148
COc1ccc2[nH]c(C(=O)N3CCC4(CN(C)C4)CC3)cc2c1	2.2	5449.216086792294
CC[C@@H](C)[C@H](C)NC[C@H](O)COc1cccc2[nH]ccc21	0.638	4523.44189821239
CCOc1ccc2nc(NC(=O)CNC(=O)O)sc2c1	2.614	-2401.273672336276
C#C[C@H](C)NC[C@H](O)COc1cccc2[nH]ccc21	0.638	32559.746174017353
O=C(N[C@@H]1CCCN(S(=O)(=O)c2cccs2)C1)C1CC=CC1	1.544	1672.0963794736563
CNC[C@H](O)[C@H](C)C(=O)Nc1nc2ccc(OC)cc2s1	2.642	61524.8057338943
CCN1CCC[C@H]1CNC(=O)c1ccc(C(=O)OC)nc1	0.06	2479.4872115129474
CCN1CCOC[C@H]1CNC(=O)c1cccc(OC)c1OC	0.728	1902.559030154076
COCC(=O)NC[C@H]1CC[C@H](NC(=O)c2ccc(C)c(F)c2)CC1	2.826	-25508.970170650733
C[C@H](C(=O)N[C@@H]1CCCN(S(C)(=O)=O)C1)c1ccccc1	0.374	6030.84212291985
CC(C)c1c(C(=O)N[C@H]2CC[S@@](=O)C2)cnn1-c1ccccc1	0.618	18275.86701001545
CC(=O)N1CCC[C@@H](C(=O)Nc2cccc3cccnc32)C1	3.084	15671.27034723443
O=C(NC1[C@H]2CNC[C@H]12)N[C@@H]1CCCN(Cc2ccccc2)C1	1.626	-2880.26334704701
O=C(Nc1ccc2c(c1)C(=O)NCC2)N1CCN(CC2CC2)CC1	2.378	76134.13091605314
CO[C@H]1Cc2ccc(NC(=O)c3ccc(-n4ccnc4)nc3)cc2C1	2.426	69535.07278583467
O=C([C@H]1CCCCS1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1	2.54	7116.2053302959575
Cc1ccc(F)cc1S(=O)(=O)N[C@H]1CCN2CCC[C@@H]2C1	2.218	26182.65860092706
O=C(Nc1ccc2ncccc2c1)c1ccc2[nH]c(=O)[nH]c2c1	2.318	27196.26208132095
O=C([C@H]1CCCNC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1	2.564	28926.400712522794
C=CCc1ccccc1OC[C@H](O)CN[C@H]1CCN(C(=O)NCC)C1	0.584	-22565.681122769834
O=C(Nc1cccc2cccnc21)[C@H]1CCn2ccnc2C1	2.698	76257.57854618202
Cc1nc(C(=O)N2CCC3(CN(C(=O)[C@@H](C)C4CC4)C3)C2)cs1	1.954	-1299.4738367068785
Cc1cc(NC(=O)C(F)(F)F)ccc1N1CCOCC1	0.982	-4523.200415338841
CN(C(=O)Cc1ccccc1)[C@H]1CCN(CC[C@H]2CCCO2)C1	3.14	65151.1496237397
CNC(=O)c1ccc(Nc2cnc(OC)c(C)c2)cc1F	3.182	26114.846702731753
CC(=O)N1CCC[C@@H](CN2CCN(c3cccc(Cl)c3)CC2)C1	2.59	31038.114951962867
COC[C@@H](NC(=O)c1cc2ccsc2[nH]1)c1ccco1	3.098	41102.21554099742
O=C(c1cccc(C#CCO)c1)N1CCC(Nc2ccccn2)CC1	1.862	39087.531950593184
N#Cc1ccc(N2CC[C@@H](NC(=O)c3ccccc3)C2)nc1	2.334	15828.33011780263
COc1ccc2[nH]nc(NC(=O)COc3ccccc3C)c2c1	2.224	27905.651484346563
COc1cccc(C(=O)N2CCC(NC(=O)OC3CCCC3)CC2)c1	2.79	4764.86908426939
COCCCCN1CCN(C(=O)Nc2cccc(Cl)c2)CC1	2.404	51951.98240468386
Cc1ccc(C(=O)N2C[C@H](C)C[C@H](C)C2)cc1NC(=O)CO	1.988	10989.138366614976
O=C(COCc1ccccn1)N1CCC([C@@H]2CCCN2)CC1	2.162	96187.42735413038
COCc1ncsc1C(=O)N1CCC(Nc2ccccn2)CC1	1.862	38386.32609012721
CCC(=O)N1CC[C@@H](NC(=O)[C@@H](c2ccccc2)C2CC2)C1	1.314	32484.043108062102
CNC(=O)c1ccccc1NC(=O)/C=C\c1ccc(OC)c(OC)c1	2.488	43055.419671626085
CC#CCNC(=O)N[C@@H]1CCCN(C(=O)c2ccccc2)C1	2.242	-14780.635287553145
Cc1nc(C(=O)N2CC[C@]3(CCN(C(=O)[C@H]4CC45CC5)C3)C2)cs1	1.756	42711.266041465045
CCNC(=O)CCC(=O)N[C@@H]1CCN(CCc2ccccc2)C1	2.086	32393.269218005495
COc1ccc(N2CC[C@H](CNC(=O)[C@H]3CCC[C@@H]3C(=O)O)C2)cc1	1.588	-14647.30726254097
CCOc1cc(C(=O)N2CCC(Nc3cc(C)ncn3)CC2)ccn1	2.374	-16250.489623026733
CCOc1ccc(C(=O)N[C@@H]2CCS(=O)(=O)C2)cc1	1.618	7259.0534026599635
Cc1[nH]c2ccccc2c1CCNC(=O)NCc1cnn(C)c1	0.894	17408.353473892617
CC(=O)Nc1ccc(CC(=O)N(C)C2CC(NC/C=C/Cl)C2)cc1	1.96	22313.852684738697
CC(C)CCN1CCC(N(C)C(=O)c2cccn3ccnc23)CC1	3.24	-62512.84650562181
COc1ccc(CC(=O)N(CCO)[C@H](C)c2ccccc2)cc1OC	1.508	37445.909037935
O=C(COc1ccc(Cl)cc1)N1CC[C@H](CNc2ncccn2)C1	2.23	43851.334269293395
CCN1CCN(Cc2ccc(C(=O)Nc3ncccn3)cc2)CC1	1.958	7681.58036006055
C[C@H](CC(=O)NCC1(NC(=O)Cc2ccon2)CCC1)[C@@H]1CCCO1	1.248	13400.48553438155
O=C(N[C@@H]1CCCCCN(C(=O)c2ccccc2)C1)C1CCOCC1	1.554	21820.459980606316
CO[C@@H](C)CCC(=O)N[C@@H]1CCN(C(=O)c2ccccc2)C1	1.898	33230.42393184664
C[C@H](NC(=O)N1CCOC[C@@H]1C)c1cccc(N2CCCC2)c1	0.806	1761.069073395236
CCN(C(=O)Cc1ccc(C)cc1)[C@H]1CCN(CCO)C1	2.822	31783.44057034862
Cc1sc2ncnc(SCC(=O)N[C@@H]3C[C@H]4CC[C@@H]3O4)c2c1C	2.322	28428.781148683942
